         z	         T	      (NI)	     H(NI)	     O(NI)	   CH4(NI)	   H2O(NI)	   CO2(NI)	    CO(NI)	    OH(NI)	     C(NI)	   HCO(NI)	    CH(NI)	   CH3(NI)	   CH2(NI)	
6.3529e-07	1.0732e+03	8.7383e-01	6.5793e-03	6.6240e-02	1.6857e-09	2.8550e-06	8.3661e-06	5.3319e-02	1.3730e-05	8.4453e-06	2.0075e-14	4.5739e-11	4.2077e-10	2.9834e-10	
6.8633e-07	1.0732e+03	8.7154e-01	6.7948e-03	6.5429e-02	1.6809e-09	3.0568e-06	8.6667e-06	5.6198e-02	1.4043e-05	8.4590e-06	2.2265e-14	4.5376e-11	4.1781e-10	2.9605e-10	
7.3737e-07	1.0732e+03	8.6937e-01	7.0038e-03	6.4640e-02	1.6762e-09	3.2553e-06	8.9558e-06	5.8955e-02	1.4336e-05	8.4738e-06	2.4512e-14	4.5024e-11	4.1493e-10	2.9382e-10	
7.8842e-07	1.0732e+03	8.6728e-01	7.2064e-03	6.3877e-02	1.6717e-09	3.4507e-06	9.2348e-06	6.1600e-02	1.4611e-05	8.4889e-06	2.6810e-14	4.4684e-11	4.1215e-10	2.9167e-10	
8.3946e-07	1.0732e+03	8.6528e-01	7.4033e-03	6.3137e-02	1.6674e-09	3.6430e-06	9.5039e-06	6.4141e-02	1.4871e-05	8.5046e-06	2.9157e-14	4.4355e-11	4.0945e-10	2.8958e-10	
8.9050e-07	1.0732e+03	8.6336e-01	7.5951e-03	6.2417e-02	1.6633e-09	3.8325e-06	9.7636e-06	6.6587e-02	1.5116e-05	8.5208e-06	3.1551e-14	4.4036e-11	4.0683e-10	2.8756e-10	
9.7026e-07	1.0732e+03	8.6051e-01	7.8856e-03	6.1333e-02	1.6571e-09	4.1232e-06	1.0152e-05	7.0233e-02	1.5473e-05	8.5471e-06	3.5382e-14	4.3555e-11	4.0289e-10	2.8452e-10	
1.0500e-06	1.0732e+03	8.5782e-01	8.1659e-03	6.0294e-02	1.6513e-09	4.4075e-06	1.0520e-05	7.3685e-02	1.5801e-05	8.5743e-06	3.9314e-14	4.3096e-11	3.9911e-10	2.8161e-10	
1.1298e-06	1.0732e+03	8.5526e-01	8.4369e-03	5.9299e-02	1.6457e-09	4.6859e-06	1.0869e-05	7.6963e-02	1.6104e-05	8.6023e-06	4.3341e-14	4.2657e-11	3.9550e-10	2.7882e-10	
1.2095e-06	1.0732e+03	8.5283e-01	8.6997e-03	5.8345e-02	1.6404e-09	4.9586e-06	1.1201e-05	8.0083e-02	1.6385e-05	8.6308e-06	4.7457e-14	4.2237e-11	3.9204e-10	2.7615e-10	
1.2893e-06	1.0732e+03	8.5052e-01	8.9550e-03	5.7429e-02	1.6353e-09	5.2261e-06	1.1518e-05	8.3058e-02	1.6646e-05	8.6597e-06	5.1656e-14	4.1834e-11	3.8871e-10	2.7359e-10	
1.3691e-06	1.0732e+03	8.4830e-01	9.2033e-03	5.6549e-02	1.6304e-09	5.4885e-06	1.1819e-05	8.5903e-02	1.6890e-05	8.6890e-06	5.5934e-14	4.1446e-11	3.8552e-10	2.7113e-10	
1.4963e-06	1.0732e+03	8.4496e-01	9.5866e-03	5.5214e-02	1.6230e-09	5.8973e-06	1.2272e-05	9.0196e-02	1.7246e-05	8.7363e-06	6.2913e-14	4.0859e-11	3.8068e-10	2.6739e-10	
1.6236e-06	1.0732e+03	8.4182e-01	9.9557e-03	5.3957e-02	1.6160e-09	6.2947e-06	1.2694e-05	9.4220e-02	1.7567e-05	8.7840e-06	7.0067e-14	4.0307e-11	3.7611e-10	2.6388e-10	
1.7509e-06	1.0732e+03	8.3886e-01	1.0312e-02	5.2770e-02	1.6094e-09	6.6817e-06	1.3088e-05	9.8006e-02	1.7858e-05	8.8319e-06	7.7381e-14	3.9785e-11	3.7181e-10	2.6056e-10	
1.9830e-06	1.0732e+03	8.3387e-01	1.0933e-02	5.0769e-02	1.5982e-09	7.3625e-06	1.3742e-05	1.0438e-01	1.8325e-05	8.9195e-06	9.1098e-14	3.8905e-11	3.6454e-10	2.5496e-10	
2.2151e-06	1.0732e+03	8.2930e-01	1.1522e-02	4.8952e-02	1.5878e-09	8.0141e-06	1.4325e-05	1.1018e-01	1.8723e-05	9.0067e-06	1.0525e-13	3.8105e-11	3.5794e-10	2.4986e-10	
