         z	         T	         p	         u	       rho	       CH4	       H2O	        H2	        CO	       CO2	        O2	        N2	
4.8831e-07	1.0732e+03	1.0000e+05	1.0010e-01	3.2492e-01	2.4927e-01	8.7867e-04	9.2892e-05	1.8503e-03	2.4839e-01	6.1634e-17	4.9951e-01	
5.1771e-07	1.0732e+03	1.0000e+05	1.0010e-01	3.2490e-01	2.4923e-01	9.2867e-04	9.7822e-05	1.9552e-03	2.4830e-01	6.0877e-17	4.9949e-01	
5.4710e-07	1.0732e+03	1.0000e+05	1.0011e-01	3.2489e-01	2.4919e-01	9.7828e-04	1.0276e-04	2.0593e-03	2.4821e-01	6.0138e-17	4.9946e-01	
5.7650e-07	1.0732e+03	1.0000e+05	1.0011e-01	3.2487e-01	2.4915e-01	1.0275e-03	1.0771e-04	2.1628e-03	2.4812e-01	5.9418e-17	4.9943e-01	
6.0590e-07	1.0732e+03	1.0000e+05	1.0012e-01	3.2485e-01	2.4911e-01	1.0764e-03	1.1268e-04	2.2654e-03	2.4803e-01	5.8724e-17	4.9941e-01	
6.3529e-07	1.0732e+03	1.0000e+05	1.0012e-01	3.2483e-01	2.4907e-01	1.1249e-03	1.1767e-04	2.3674e-03	2.4794e-01	5.8054e-17	4.9938e-01	
6.8633e-07	1.0732e+03	1.0000e+05	1.0013e-01	3.2480e-01	2.4900e-01	1.2082e-03	1.2637e-04	2.5428e-03	2.4779e-01	5.6914e-17	4.9933e-01	
7.3737e-07	1.0732e+03	1.0000e+05	1.0014e-01	3.2477e-01	2.4893e-01	1.2905e-03	1.3513e-04	2.7162e-03	2.4764e-01	5.5835e-17	4.9929e-01	
7.8842e-07	1.0732e+03	1.0000e+05	1.0015e-01	3.2474e-01	2.4886e-01	1.3719e-03	1.4393e-04	2.8877e-03	2.4749e-01	5.4770e-17	4.9924e-01	
8.3946e-07	1.0732e+03	1.0000e+05	1.0016e-01	3.2472e-01	2.4880e-01	1.4522e-03	1.5278e-04	3.0573e-03	2.4734e-01	5.3733e-17	4.9920e-01	
8.9050e-07	1.0732e+03	1.0000e+05	1.0017e-01	3.2469e-01	2.4873e-01	1.5317e-03	1.6167e-04	3.2250e-03	2.4720e-01	5.2730e-17	4.9915e-01	
9.7026e-07	1.0732e+03	1.0000e+05	1.0018e-01	3.2464e-01	2.4863e-01	1.6540e-03	1.7568e-04	3.4838e-03	2.4697e-01	5.1230e-17	4.9909e-01	
1.0500e-06	1.0732e+03	1.0000e+05	1.0020e-01	3.2460e-01	2.4853e-01	1.7743e-03	1.8980e-04	3.7385e-03	2.4675e-01	4.9805e-17	4.9902e-01	
1.1298e-06	1.0732e+03	1.0000e+05	1.0021e-01	3.2456e-01	2.4843e-01	1.8926e-03	2.0404e-04	3.9894e-03	2.4653e-01	4.8446e-17	4.9895e-01	
1.2095e-06	1.0732e+03	1.0000e+05	1.0022e-01	3.2451e-01	2.4833e-01	2.0091e-03	2.1839e-04	4.2366e-03	2.4632e-01	4.7148e-17	4.9889e-01	
1.2893e-06	1.0732e+03	1.0000e+05	1.0024e-01	3.2447e-01	2.4823e-01	2.1237e-03	2.3285e-04	4.4803e-03	2.4611e-01	4.5908e-17	4.9882e-01	
1.3691e-06	1.0732e+03	1.0000e+05	1.0025e-01	3.2443e-01	2.4814e-01	2.2367e-03	2.4741e-04	4.7208e-03	2.4590e-01	4.4725e-17	4.9876e-01	
1.4963e-06	1.0732e+03	1.0000e+05	1.0027e-01	3.2436e-01	2.4799e-01	2.4135e-03	2.7086e-04	5.0979e-03	2.4557e-01	4.2949e-17	4.9866e-01	
1.6236e-06	1.0732e+03	1.0000e+05	1.0029e-01	3.2430e-01	2.4784e-01	2.5864e-03	2.9457e-04	5.4674e-03	2.4525e-01	4.1295e-17	4.9856e-01	
1.7509e-06	1.0732e+03	1.0000e+05	1.0031e-01	3.2424e-01	2.4769e-01	2.7557e-03	3.1851e-04	5.8298e-03	2.4494e-01	3.9755e-17	4.9846e-01	
1.9830e-06	1.0732e+03	1.0000e+05	1.0034e-01	3.2413e-01	2.4744e-01	3.0556e-03	3.6276e-04	6.4740e-03	2.4438e-01	3.7199e-17	4.9829e-01	
2.2151e-06	1.0732e+03	1.0000e+05	1.0038e-01	3.2402e-01	2.4719e-01	3.3452e-03	4.0772e-04	7.0982e-03	2.4384e-01	3.4931e-17	4.9812e-01	
2.4473e-06	1.0732e+03	1.0000e+05	1.0041e-01	3.2391e-01	2.4694e-01	3.6253e-03	4.5334e-04	7.7040e-03	2.4332e-01	3.2910e-17	4.9796e-01	
2.6794e-06	1.0732e+03	1.0000e+05	1.0044e-01	3.2381e-01	2.4670e-01	3.8970e-03	4.9957e-04	8.2935e-03	2.4281e-01	3.1101e-17	4.9780e-01	
2.9115e-06	1.0732e+03	1.0000e+05	1.0047e-01	3.2371e-01	2.4647e-01	4.1607e-03	5.4636e-04	8.8678e-03	2.4231e-01	2.9454e-17	4.9765e-01	
3.1436e-06	1.0732e+03	1.0000e+05	1.0050e-01	3.2361e-01	2.4624e-01	4.4172e-03	5.9365e-04	9.4281e-03	2.4182e-01	2.7951e-17	4.9749e-01	
3.3758e-06	1.0732e+03	1.0000e+05	1.0053e-01	3.2351e-01	2.4602e-01	4.6669e-03	6.4144e-04	9.9752e-03	2.4135e-01	2.6606e-17	4.9735e-01	
3.6079e-06	1.0732e+03	1.0000e+05	1.0056e-01	3.2342e-01	2.4580e-01	4.9103e-03	6.8974e-04	1.0510e-02	2.4089e-01	2.5411e-17	4.9720e-01	
3.8400e-06	1.0732e+03	1.0000e+05	1.0059e-01	3.2332e-01	2.4559e-01	5.1478e-03	7.3852e-04	1.1034e-02	2.4044e-01	2.4304e-17	4.9706e-01	
4.0722e-06	1.0732e+03	1.0000e+05	1.0062e-01	3.2323e-01	2.4537e-01	5.3798e-03	7.8767e-04	1.1547e-02	2.3999e-01	2.3222e-17	4.9692e-01	
4.3043e-06	1.0732e+03	1.0000e+05	1.0065e-01	3.2314e-01	2.4517e-01	5.6068e-03	8.3705e-04	1.2051e-02	2.3956e-01	2.2180e-17	4.9678e-01	
4.4568e-06	1.0732e+03	1.0000e+05	1.0067e-01	3.2308e-01	2.4503e-01	5.7532e-03	8.6977e-04	1.2376e-02	2.3928e-01	2.1618e-17	4.9669e-01	
4.5617e-06	1.0732e+03	1.0000e+05	1.0068e-01	3.2304e-01	2.4494e-01	5.8527e-03	8.9240e-04	1.2598e-02	2.3909e-01	2.1282e-17	4.9663e-01	
4.6666e-06	1.0732e+03	1.0000e+05	1.0069e-01	3.2300e-01	2.4485e-01	5.9513e-03	9.1508e-04	1.2818e-02	2.3890e-01	2.0885e-17	4.9657e-01	
4.7724e-06	1.0732e+03	1.0000e+05	1.0070e-01	3.2297e-01	2.4476e-01	6.0498e-03	9.3801e-04	1.3038e-02	2.3871e-01	2.0527e-17	4.9651e-01	
4.8782e-06	1.0732e+03	1.0000e+05	1.0072e-01	3.2293e-01	2.4467e-01	6.1474e-03	9.6101e-04	1.3256e-02	2.3852e-01	2.0221e-17	4.9645e-01	
4.9840e-06	1.0732e+03	1.0000e+05	1.0073e-01	3.2289e-01	2.4458e-01	6.2441e-03	9.8410e-04	1.3472e-02	2.3833e-01	1.9854e-17	4.9639e-01	
5.0898e-06	1.0732e+03	1.0000e+05	1.0074e-01	3.2285e-01	2.4449e-01	6.3399e-03	1.0073e-03	1.3687e-02	2.3815e-01	1.9493e-17	4.9633e-01	
5.1956e-06	1.0732e+03	1.0000e+05	1.0075e-01	3.2281e-01	2.4440e-01	6.4349e-03	1.0305e-03	1.3900e-02	2.3797e-01	1.9155e-17	4.9627e-01	
5.3014e-06	1.0732e+03	1.0000e+05	1.0076e-01	3.2277e-01	2.4431e-01	6.5291e-03	1.0537e-03	1.4112e-02	2.3778e-01	1.8858e-17	4.9621e-01	
5.4072e-06	1.0732e+03	1.0000e+05	1.0078e-01	3.2273e-01	2.4423e-01	6.6225e-03	1.0770e-03	1.4322e-02	2.3760e-01	1.8620e-17	4.9615e-01	
5.5130e-06	1.0732e+03	1.0000e+05	1.0079e-01	3.2270e-01	2.4414e-01	6.7151e-03	1.1004e-03	1.4531e-02	2.3742e-01	1.8300e-17	4.9609e-01	
5.6188e-06	1.0732e+03	1.0000e+05	1.0080e-01	3.2266e-01	2.4405e-01	6.8069e-03	1.1239e-03	1.4738e-02	2.3724e-01	1.7939e-17	4.9603e-01	
5.7246e-06	1.0732e+03	1.0000e+05	1.0081e-01	3.2262e-01	2.4397e-01	6.8980e-03	1.1473e-03	1.4943e-02	2.3707e-01	1.7659e-17	4.9598e-01	
